Id,Label,fideId,elo,top_player
Rameshbabu Praggnanandhaa,Rameshbabu Praggnanandhaa,25059530,2471,True
Li Bo,Li Bo,8602786,2359,False
Hikaru Nakamura,Hikaru Nakamura,0,0,True
Levon Aronian,Levon Aronian,0,0,True
Samuel Sevian,Samuel Sevian,2040506,2247,True
"Matikozian,A","Matikozian,A",13300440,2411,False
"Cordova,E","Cordova,E",3801497,2572,False
Samuel Shankland,Samuel Shankland,2004887,2581,True
Bassem Amin,Bassem Amin,10601457,2643,True
"Dgebuadze,A","Dgebuadze,A",203882,2556,False
Laurent Fressinet,Laurent Fressinet,608742,2702,True
"Bacrot,E","Bacrot,E",605506,2705,False
Wang Hao,Wang Hao,8602883,2733,True
Wang Chen,Wang Chen,8601020,2490,False
"Bryzgalin,K","Bryzgalin,K",4133285,2485,False
Michał Krasenkow,Michał Krasenkow,1113100,2628,True
Ian Nepomniachtchi,Ian Nepomniachtchi,4168119,2707,True
Dmitry Jakovenko,Dmitry Jakovenko,4122356,2741,True
"Bindrich,F","Bindrich,F",4676670,2545,False
Boris Grachev,Boris Grachev,4129199,2688,True
"Appolonov,S","Appolonov,S",4116291,2378,False
Evgeny Najer,Evgeny Najer,4118987,2647,True
"Fedoseev,Vl3","Fedoseev,Vl3",24130737,2510,False
Vladimir Malakhov,Vladimir Malakhov,4120787,2709,True
Nigel Short,Nigel Short,400025,2697,True
"Ghaem Maghami,E","Ghaem Maghami,E",12500739,2568,False
Zhou Weiqi,Zhou Weiqi,8601674,2590,False
Yu Yangyi,Yu Yangyi,8603820,2675,True
"Nedilko,V","Nedilko,V",14101459,2396,False
Alexander Beliavsky,Alexander Beliavsky,14602377,2628,True
"Cori,J","Cori,J",3802272,2569,False
Teimour Radjabov,Teimour Radjabov,13400924,2733,True
"Goganov,A","Goganov,A",24109959,2577,False
Maxim Matlakov,Maxim Matlakov,4168003,2676,True
"Aleksandrov,A","Aleksandrov,A",13500139,2598,False
Evgeny Alekseev,Evgeny Alekseev,4138147,2710,True
"Reshetnikov,Al","Reshetnikov,Al",4162080,2497,False
Sergey Karjakin,Sergey Karjakin,14109603,2772,True
Alexander Grischuk,Alexander Grischuk,4126025,2785,True
"Glek,I","Glek,I",4100484,2460,False
Igor Kovalenko,Igor Kovalenko,14117908,2644,True
"Savchenko,B","Savchenko,B",4147332,2602,False
Alexander Riazantsev,Alexander Riazantsev,4125029,2700,True
Alexey Dreev,Alexey Dreev,4100107,2668,True
"Demidov,M","Demidov,M",4197143,2503,False
"Popov,Iv RUS","Popov,Iv RUS",4170350,2656,False
Alexander Morozevich,Alexander Morozevich,4116992,2739,True
"Korotylev,A","Korotylev,A",4119142,2573,False
"Gunina,V","Gunina,V",4167570,2506,False
"Mozharov,M","Mozharov,M",4189825,2508,False
"Belous,V","Belous,V",4174003,2554,False
"Ulko,J","Ulko,J",4116658,2443,False
"Eliseev,U","Eliseev,U",24131920,2550,False
"Khurtsidze,N","Khurtsidze,N",13600320,2460,False
Ilya Smirin,Ilya Smirin,2801990,2663,True
"Moiseenko,A1","Moiseenko,A1",14102560,2703,False
"Bakre,T","Bakre,T",5004195,2455,False
