Source,Target,weight,event,site,date,white,black,whiteElo,blackElo,result
Hikaru Nakamura,Levon Aronian,1,SportAccord Blindfold Men 2012,Beijing CHN,2012.12.18,Hikaru Nakamura,Levon Aronian,2760,2815,1/2-1/2
Hikaru Nakamura,Magnus Carlsen,1,chess.com Blitz Final 5m+2spm 2016,chess.com INT,2016.10.27,Magnus Carlsen,Hikaru Nakamura,2853,2787,1/2-1/2
Hikaru Nakamura,Shakhriyar Mamedyarov,1,GCT Blitz Paris 2017,Paris FRA,2017.06.24,Hikaru Nakamura,Shakhriyar Mamedyarov,2785,2800,1-0
Hikaru Nakamura,Alexey Sarana,1,World Blitz 2018,St Petersburg RUS,2018.12.29,Hikaru Nakamura,Alexey Sarana,2746,2618,1/2-1/2
Hikaru Nakamura,Maxime Vachier-Lagrave,1,chess.com Speed 1m+1spm 2018,chess.com INT,2018.10.11,Maxime Vachier-Lagrave,Hikaru Nakamura,2779,2777,0-1
Hikaru Nakamura,Wesley So,1,Millionaire TB Final 2015,"Las Vegas, NV USA",2015.10.11,Hikaru Nakamura,Wesley So,2816,2760,1/2-1/2
Hikaru Nakamura,Fabiano Caruana,1,GCT Rapid Paris 2016,Paris FRA,2016.06.10,Fabiano Caruana,Hikaru Nakamura,2804,2787,0-1
Hikaru Nakamura,Peter Svidler,1,Zurich Korchnoi CC Blitz,Zurich SUI,2017.04.17,Peter Svidler,Hikaru Nakamura,2747,2793,1/2-1/2
Hikaru Nakamura,Boris Gelfand,1,76. Tata Steel Masters,Wijk aan Zee NED,2014.01.13,Hikaru Nakamura,Boris Gelfand,2789,2777,1/2-1/2
Hikaru Nakamura,Viswanathan Anand,1,9. London Classic 2017,London ENG,2017.12.01,Hikaru Nakamura,Viswanathan Anand,2781,2782,1/2-1/2
Hikaru Nakamura,Sergey Karjakin,1,11. Tal Mem Rapid 2018,Moscow RUS,2018.03.04,Hikaru Nakamura,Sergey Karjakin,2787,2763,1/2-1/2
Hikaru Nakamura,Veselin Topalov,1,Riga FIDE Grand Prix 2019,Riga LAT,2019.07.14,Hikaru Nakamura,Veselin Topalov,2754,2740,1/2-1/2
Hikaru Nakamura,David Navara,1,TCh-ESP CECLUB Honor,Sestao ESP,2010.08.28,Hikaru Nakamura,David Navara,2729,2731,1-0
Hikaru Nakamura,Dmitry Andreikin,1,Tashkent FIDE GP 2014,Tashkent UZB,2014.10.22,Dmitry Andreikin,Hikaru Nakamura,2722,2764,1/2-1/2
Hikaru Nakamura,Vladimir Kramnik,1,40. Olympiad Open,Istanbul TUR,2012.09.06,Hikaru Nakamura,Vladimir Kramnik,2778,2797,1-0
Hikaru Nakamura,Baadur Jobava,1,World Blitz 2018,St Petersburg RUS,2018.12.29,Hikaru Nakamura,Baadur Jobava,2746,2627,1/2-1/2
Hikaru Nakamura,Ruslan Ponomariov,1,6. World Blitz,Moscow RUS,2010.11.18,Hikaru Nakamura,Ruslan Ponomariov,2741,2744,1-0
Hikaru Nakamura,Alexei Shirov,1,5. Zurich CC 2016,Zurich SUI,2016.02.13,Alexei Shirov,Hikaru Nakamura,2684,2787,0-1
Hikaru Nakamura,Yu Yangyi,1,Gibraltar Masters TB,Caleta ENG,2017.02.02,Yu Yangyi,Hikaru Nakamura,2738,2785,0-1
Hikaru Nakamura,Evgeny Tomashevsky,1,7. Mikhail Tal Memorial,Moscow RUS,2012.06.10,Hikaru Nakamura,Evgeny Tomashevsky,2775,2738,1/2-1/2
Hikaru Nakamura,Jan-Krzysztof Duda,1,Champions Showdown Blitz,Saint Louis USA,2019.02.23,Hikaru Nakamura,Jan-Krzysztof Duda,2749,2731,1-0
Hikaru Nakamura,Bu Xiangzhi,1,Trophee CCAS GpA,Cap d'Agde FRA,2010.10.26,Bu Xiangzhi,Hikaru Nakamura,2695,2733,1/2-1/2
Hikaru Nakamura,Alexander Grischuk,1,Baku FIDE Grand Prix 2014,Baku AZE,2014.10.05,Alexander Grischuk,Hikaru Nakamura,2797,2764,1/2-1/2
Hikaru Nakamura,Daniil Dubov,1,GCT Blitz Paris 2019,Paris FRA,2019.07.31,Daniil Dubov,Hikaru Nakamura,2700,2754,0-1
Hikaru Nakamura,Anton Korobov,1,FIDE World Cup 2013,Tromso NOR,2013.08.20,Hikaru Nakamura,Anton Korobov,2772,2720,1/2-1/2
Hikaru Nakamura,Garry Kasparov,1,Ultimate Blitz Challenge,Saint Louis USA,2016.04.29,Garry Kasparov,Hikaru Nakamura,2812,2787,1/2-1/2
