Id,Label,fideId,elo,top_player
Hikaru Nakamura,Hikaru Nakamura,0,0,True
Levon Aronian,Levon Aronian,0,0,True
Ian Nepomniachtchi,Ian Nepomniachtchi,4168119,2707,True
Dmitry Jakovenko,Dmitry Jakovenko,4122356,2741,True
Igor Kovalenko,Igor Kovalenko,14117908,2644,True
Vladimir Malakhov,Vladimir Malakhov,4120787,2707,True
Alexander Riazantsev,Alexander Riazantsev,4125029,2700,True
Alexey Dreev,Alexey Dreev,4100107,2668,True
Sergey Karjakin,Sergey Karjakin,14109603,2772,True
Alexander Grischuk,Alexander Grischuk,4126025,2785,True
Alexander Morozevich,Alexander Morozevich,4116992,2739,True
Evgeny Najer,Evgeny Najer,4118987,2626,True
Rustam Kasimdzhanov,Rustam Kasimdzhanov,14200244,2693,True
Ni Hua,Ni Hua,8601160,2654,True
Bu Xiangzhi,Bu Xiangzhi,8601445,2699,True
Ernesto Inarkiev,Ernesto Inarkiev,4162722,2682,True
Bassem Amin,Bassem Amin,10601457,2635,True
Viswanathan Anand,Viswanathan Anand,5000017,2785,True
Maxim Matlakov,Maxim Matlakov,4168003,2689,True
Daniil Dubov,Daniil Dubov,24126055,2614,True
Nikita Vitiugov,Nikita Vitiugov,4152956,2742,True
Sergei Movsesian,Sergei Movsesian,310204,2672,True
Yuriy Kryvoruchko,Yuriy Kryvoruchko,14109182,2707,True
Arkadij Naiditsch,Arkadij Naiditsch,4650891,2705,True
Ivan Sokolov,Ivan Sokolov,14400030,2650,True
Pentala Harikrishna,Pentala Harikrishna,5007003,2726,True
Evgeny Alekseev,Evgeny Alekseev,4138147,2675,True
Wang Yue,Wang Yue,8601429,2711,True
Wei Yi,Wei Yi,8603405,2649,True
Ding Liren,Ding Liren,8603677,2730,True
Wang Hao,Wang Hao,8602883,2710,True
Evgeny Tomashevsky,Evgeny Tomashevsky,4147235,2745,True
Alexander Khalifman,Alexander Khalifman,4100115,2613,True
Yu Yangyi,Yu Yangyi,8603820,2723,True
