Id,Label,fideId,elo,top_player,location,lat,lng
Magnus Carlsen,Magnus Carlsen,1503014,2857,True,Norway,62.0,10.0
Ian Nepomniachtchi,Ian Nepomniachtchi,4168119,2707,True,Russian Federation,60.0,100.0
Dmitry Jakovenko,Dmitry Jakovenko,4122356,2741,True,Russian Federation,60.0,100.0
Igor Kovalenko,Igor Kovalenko,14117908,2644,True,Ukraine,49.0,32.0
Vladimir Malakhov,Vladimir Malakhov,4120787,2707,True,Russian Federation,60.0,100.0
Alexander Riazantsev,Alexander Riazantsev,4125029,2700,True,Russian Federation,60.0,100.0
Alexey Dreev,Alexey Dreev,4100107,2668,True,Russian Federation,60.0,100.0
Sergey Karjakin,Sergey Karjakin,14109603,2772,True,Russian Federation,60.0,100.0
Alexander Grischuk,Alexander Grischuk,4126025,2785,True,Russian Federation,60.0,100.0
Alexander Morozevich,Alexander Morozevich,4116992,2739,True,Russian Federation,60.0,100.0
Evgeny Najer,Evgeny Najer,4118987,2626,True,Russian Federation,60.0,100.0
Ni Hua,Ni Hua,8601160,2654,True,China,35.0,105.0
Bu Xiangzhi,Bu Xiangzhi,8601445,2699,True,China,35.0,105.0
Ernesto Inarkiev,Ernesto Inarkiev,4162722,2682,True,Russian Federation,60.0,100.0
Bassem Amin,Bassem Amin,10601457,2635,True,Egypt,27.0,30.0
Viswanathan Anand,Viswanathan Anand,5000017,2785,True,India,20.0,77.0
Maxim Matlakov,Maxim Matlakov,4168003,2689,True,Russian Federation,60.0,100.0
Daniil Dubov,Daniil Dubov,24126055,2614,True,Russian Federation,60.0,100.0
Nikita Vitiugov,Nikita Vitiugov,4152956,2742,True,Russian Federation,60.0,100.0
Sergei Movsesian,Sergei Movsesian,310204,2672,True,Armenia,40.0,45.0
Yuriy Kryvoruchko,Yuriy Kryvoruchko,14109182,2707,True,Ukraine,49.0,32.0
Arkadij Naiditsch,Arkadij Naiditsch,4650891,2705,True,Latvia,57.0,25.0
Ivan Sokolov,Ivan Sokolov,14400030,2650,True,Bosnia and Herzegovina,44.0,18.0
Pentala Harikrishna,Pentala Harikrishna,5007003,2726,True,India,20.0,77.0
Evgeny Alekseev,Evgeny Alekseev,4138147,2675,True,Russian Federation,60.0,100.0
Wang Yue,Wang Yue,8601429,2711,True,China,35.0,105.0
Wei Yi,Wei Yi,8603405,2649,True,China,35.0,105.0
Ding Liren,Ding Liren,8603677,2730,True,China,35.0,105.0
Wang Hao,Wang Hao,8602883,2710,True,China,35.0,105.0
Evgeny Tomashevsky,Evgeny Tomashevsky,4147235,2745,True,Russian Federation,60.0,100.0
