~~Player_names~~
Magnus Carlsen, Norway
Garry Kasparov, Russian Federation
Fabiano Caruana, United States
Levon Aronian, Armenia
Wesley So, United States
Shakhriyar Mamedyarov, Azerbaijan
Maxime Vachier-Lagrave, France
Viswanathan Anand, India
Vladimir Kramnik, Russian Federation
Veselin Topalov, Bulgaria
Hikaru Nakamura, United States
Ding Liren, China
Alexander Grischuk, Russian Federation
Alireza Firouzja, France
Arjun Erigaisi, India
Anish Giri, Netherlands
Ian Nepomniachtchi, Russian Federation
Gukesh Dommaraju, India
Teimour Radjabov, Azerbaijan
Alexander Morozevich, Russian Federation
Sergey Karjakin, Russian Federation
Vasyl Ivanchuk, Ukraine
Bobby Fischer, United States
Nodirbek Abdusattorov, Uzbekistan
Anatoly Karpov, Russian Federation
Boris Gelfand, Belarus
Richárd Rapport, Hungary
Pentala Harikrishna, India
Peter Svidler, Russian Federation
Leinier Domínguez, Cuba
Pavel Eljanov, Ukraine
Yu Yangyi, China
Ruslan Ponomariov, Ukraine
Peter Leko, Hungary
Gata Kamsky, United States
Wang Hao, China
Wei Yi, China
Vugar Gashimov, Azerbaijan
Michael Adams, United Kingdom
Vladislav Artemiev, Russian Federation
Dmitry Jakovenko, Russian Federation
Jan-Krzysztof Duda, Poland
Evgeny Tomashevsky, Russian Federation
Li Chao, China
Rameshbabu Praggnanandhaa, India
Wang Yue, China
Alexei Shirov, Latvia
Sergei Movsesian, Armenia
David Navara, Czechia
Nikita Vitiugov, Russian Federation
Radosław Wojtaszek, Poland
Étienne Bacrot, France
Vidit Gujrathi, India
Dmitry Andreikin, Russian Federation
Vincent Keymer, Germany
Parham Maghsoodloo, Iran
Lê Quang Liêm, Vietnam
Evgeny Bareev, Russian Federation
Vladimir Fedoseev, Russian Federation
Maxim Matlakov, Russian Federation
Arkadij Naiditsch, Latvia
Judit Polgár, Hungary
Viktor Bologan, "Moldova, Republic of"
Baadur Jobava, Georgia
Hans Niemann, United States
Vladimir Malakhov, Russian Federation
Ernesto Inarkiev, Russian Federation
Bu Xiangzhi, China
Samuel Shankland, United States
Aravindh Chithambaram, India
Zoltán Almási, Hungary
Alexander Moiseenko, Ukraine
Evgeny Alekseev, Russian Federation
Andrei Volokitin, Ukraine
Ni Hua, China
Francisco Vallejo Pons, Spain
Anton Korobov, Ukraine
Andrey Esipenko, Russian Federation
Krishnan Sasikiran, India
Alexander Riazantsev, Russian Federation
Alexander Areshchenko, Ukraine
Laurent Fressinet, France
Daniil Dubov, Russian Federation
Ivan Cheparinov, Bulgaria
Amin Tabatabaei, Iran
Lázaro Bruzón, Cuba
Yuriy Kryvoruchko, Ukraine
Alexey Sarana, Russian Federation
Valery Salov, Russian Federation
Rustam Kasimdzhanovm, Uzbekistan
Kirill Alekseenko, Russian Federation
Jorden van Foreest, Netherlands
Loek van Wely, Netherlands
Denis Khismatullin, Russian Federation
Vladimir Akopian, Armenia
Luke McShane, United Kingdom
Nigel Short, United Kingdom
David Howell, United Kingdom
Bassem Amin, Egypt
Jeffery Xiong, United States
Sanan Sjugirov, Russian Federation
Alexey Dreev, Russian Federation
Gabriel Sargissian, Armenia
Alexander Beliavsky, Ukraine
Alexander Motylev, Russian Federation
Maxim Rodshtein, Russian Federation
Bogdan-Daniel Deac, Romania
Rauf Mamedov, Azerbaijan
Gawain Jones, United Kingdom
Zahar Efimenko, Ukraine
Haik M. Martirosyan, Armenia
Liviu-Dieter Nisipeanu, ROmania
Evgeny Najer, Russian Federation
Javokhir Sindarov, Uzbekistan
Ivan Sokolov, Bosnia and Herzegovina
Ferenc Berkes, Hungary
Sergei Rublevsky, Russian Federation
Mikhail Tal, Latvia
Vadim Milov, Russian Federation
Boris Grachev, Russian Federation
Jon Ludvig Hammer, Norway
Viktor Láznička, Czechia
Ray Robson, United States
Emil Sutovsky, Azerbaijan
Markus Ragger, Austria
Vladislav Kovalev, Belarus
Ivan Šarić, Croatia
David Antón Guijarro, Spain
Samuel Sevian, United States
Michał Krasenkow, Russian Federation
Ilya Smirin, Belarus
Alexander Khalifman, Russian Federation
Zurab Azmaiparashvili, Georgia
Romain Edouard, France
Igor Kovalenko, Ukraine
Alexander Onischuk, Ukraine
Adhiban Baskaran, India
Peter Heine Nielsen, Denmark
Igor Lysyj, Russian Federation
